Id,SalePrice
1461,116419.32243854605
1462,162700.2150791996
1463,188605.71772195384
1464,192955.97804785275
1465,202571.36295070595
1466,173444.42412107871
1467,176636.66324393047
1468,157742.47075521896
1469,204538.18552810827
1470,121951.05065774891
1471,168260.44997439615
1472,98391.0308601168
1473,94330.51595712046
1474,144734.43229922923
1475,106451.81443602766
1476,375058.65870762645
1477,260433.00771720754
1478,310654.70155555283
1479,303510.45414200396
1480,477654.86837362
1481,312480.0441117551
1482,202836.86296496878
1483,178136.30756601857
1484,160327.25687240853
1485,181580.53038879766
1486,190066.0499337222
1487,334838.1899755863
1488,221337.7980945789
1489,205140.94151459174
1490,258548.2408675322
1491,198525.24589242035
1492,99525.35748328106
1493,201415.39402494222
1494,318267.8844556778
1495,293163.8077756638
1496,246795.17231326946
1497,175419.5835436041
1498,171358.13215418038
1499,167232.04600125062
1500,148289.59358132954
1501,192392.17379632365
1502,133556.1909000492
1503,337755.493969512
1504,235084.20546636538
1505,226224.99399550483
1506,189244.55308871152
1507,263246.30742552516
1508,204974.1472780969
1509,154335.86403233733
1510,143343.01760848492
1511,158463.65953938747
1512,177393.82582942815
1513,154814.7409212029
1514,161808.76986081616
1515,202717.2089182152
1516,155908.5881060225
1517,175210.01073105098
1518,120530.12709450428
1519,218467.9925132639
1520,130762.67784069493
1521,139872.46067166742
1522,186955.0722062647
1523,113973.43089441824
1524,115609.8292203992
1525,120885.94282135
1526,113386.48365899315
1527,105055.0098943497
1528,128879.36041954046
1529,162212.0477694414
1530,197222.8059375121
1531,121565.58122121148
1532,83976.24529570757
1533,152582.93334434676
1534,123408.46337909941
1535,157825.97831980744
1536,90851.84851845569
1537,64157.65802684456
1538,140343.38878594054
1539,204435.38984401186
1540,132051.43011502846
1541,140896.51217222094
1542,168398.40809106882
1543,189357.12048846422
1544,63909.380118959176
1545,115647.06518312497
1546,135592.28980319694
1547,132343.61781778323
1548,145329.20261557438
1549,122554.9091957833
1550,148551.6168392701
1551,111989.1193784131
1552,166711.73062927506
1553,155162.14263033975
1554,119852.15491777172
1555,159104.066601645
1556,62903.78562577914
1557,138045.60684124712
1558,108268.84801507226
1559,76691.92260254774
1560,127002.84885978528
1561,152927.54376872763
1562,128006.64265131991
1563,134672.71403051633
1564,160667.92189442643
1565,163196.60708478876
1566,222770.9799318815
1567,82243.85381963631
1568,223149.6865542337
1569,148799.66743345105
1570,122884.92718902873
1571,78696.15840325445
1572,146841.1074986306
1573,265174.0796376751
1574,150265.9024830542
1575,241452.64200219503
1576,224405.1413414911
1577,179188.74852672234
1578,150372.0786591272
1579,155640.92767303775
1580,190980.17033074028
1581,143878.1580139716
1582,131221.70363546815
1583,282597.58418405126
1584,222498.78900638726
1585,136218.8319670906
1586,79266.90863468575
1587,103833.79591781781
1588,151098.22331747462
1589,106643.32128120575
1590,130190.1552155888
1591,91247.85488153387
1592,132058.44889111884
1593,127315.2845039148
1594,148245.86203878516
1595,135497.0435919703
1596,238698.20315931176
1597,212585.78230437334
1598,213156.2719295449
1599,185701.03580207398
1600,170490.28540257513
1601,54752.446225999345
1602,135697.86650575476
1603,44812.7320872729
1604,280668.2011121726
1605,226070.52857768393
1606,152553.78420378303
1607,160111.7699954451
1608,197392.48633954322
1609,185380.92636478192
1610,144067.9708364005
1611,129438.28845748617
1612,183989.59802160328
1613,163451.65158404587
1614,124224.63126831924
1615,86604.96341535143
1616,78986.80621052405
1617,77658.25868149442
1618,131637.08092661982
1619,131331.2054841283
1620,169764.81067756278
1621,130771.57111376282
1622,147845.57801440818
1623,255823.3961200535
1624,207256.47434118594
1625,121100.49120641625
1626,168934.54666198167
1627,195469.11336981537
1628,280920.05911743554
1629,177732.90900289113
1630,369018.15327097586
1631,256820.68906172266
1632,249581.968518137
1633,172827.28406392742
1634,183791.72021517096
1635,171807.14342829442
1636,147740.0482631732
1637,199153.22781798855
1638,175340.25670348704
1639,177345.24259677524
1640,233835.65223578163
1641,188819.11915728543
1642,256772.6325258697
1643,216713.31458372992
1644,245155.20969247256
1645,211574.2453166906
1646,155203.86298546448
1647,165943.87627304456
1648,126678.46712984524
1649,119933.88408445727
1650,114472.59193770995
1651,115917.01372392519
1652,98913.41643646674
1653,92565.61139004817
1654,147580.96019695917
1655,133204.02216993063
1656,145138.77801558966
1657,158061.68178266077
1658,147937.55231910213
1659,126447.37755300605
1660,145075.40258812942
1661,429856.68680746
1662,393970.5874647168
1663,390651.83916413935
1664,505305.8224477477
1665,335662.4669472298
1666,325082.7604064562
1667,373190.5640230404
1668,362340.71651897486
1669,319953.2592982802
1670,367020.1342369026
1671,272562.75094199646
1672,408986.5822182539
1673,290184.09103448445
1674,246432.81914638667
1675,206341.79332877888
1676,207133.82386845158
1677,216055.15285648464
1678,476880.3524380882
1679,390217.9842443038
1680,344630.8797438258
1681,280327.9003415343
1682,323302.0828080988
1683,190648.76252449478
1684,168168.32395404327
1685,172970.21660430537
1686,165200.8069600551
1687,164871.4763426406
1688,182219.43776664234
1689,188048.19307417938
1690,188812.820406016
1691,176224.22930941253
1692,250729.54168239603
1693,171604.61889484795
1694,179763.21794367707
1695,166234.19799005904
1696,262765.53868399723
1697,170702.32469494984
1698,340460.0649265169
1699,324074.8624691456
1700,275691.9095538206
1701,284519.03685753205
1702,234744.9556417239
1703,226576.91674387478
1704,269661.0792418695
1705,245267.4760539424
1706,194034.38872397877
1707,226799.68859667226
1708,201833.304353366
1709,250374.2384265415
1710,220090.35497443445
1711,269111.740837996
1712,255292.3016575927
1713,283052.34734695585
1714,232094.2406091524
1715,208027.16574399633
1716,177793.5848264926
1717,169219.37112633226
1718,151285.58119687974
1719,220701.9197388617
1720,243254.1228000179
1721,148860.77449444993
1722,118750.17141861911
1723,150123.14475640788
1724,211947.17372901266
1725,242025.1993055955
